source_file,parameter,n_non_null,n_null,min,p05,median,mean,p95,max,std,iqr
data/СТС.csv,1990,0,83,,,,,,,,
data/СТС.csv,1991,0,83,,,,,,,,
data/СТС.csv,1992,2,81,59.0,60.15,70.5,70.5,80.85,82.0,16.263455967290593,11.5
data/СТС.csv,1993,3,80,51.0,54.3,84.0,75.33333333333333,90.3,91.0,21.361959960016154,20.0
data/СТС.csv,1994,5,78,36.0,37.2,43.0,52.4,79.19999999999999,85.0,19.629060089571276,14.0
data/СТС.csv,1995,6,77,42.0,42.0,72.0,75.66666666666667,122.0,131.0,36.59872493225231,50.75
data/СТС.csv,1996,17,66,27.0,32.6,45.0,54.705882352941174,93.19999999999999,110.0,22.692963407966225,31.0
data/СТС.csv,1997,12,71,37.0,38.65,56.0,62.666666666666664,104.14999999999998,119.0,24.12970004460114,24.25
data/СТС.csv,1998,16,67,25.0,34.75,56.5,62.125,103.25,134.0,27.635424126773714,30.5
data/СТС.csv,1999,20,63,23.0,29.650000000000002,52.5,60.15,93.85000000000002,129.0,27.97418923146647,46.5
data/СТС.csv,2000,19,64,31.0,32.8,59.0,66.73684210526316,112.49999999999997,126.0,29.76545743206966,44.5
data/СТС.csv,2001,20,63,27.0,31.75,48.5,64.0,112.05000000000001,132.0,31.79870901053755,48.0
data/СТС.csv,2002,12,71,38.0,41.3,76.0,79.83333333333333,127.59999999999998,143.0,33.26158945891392,55.0
data/СТС.csv,2003,21,62,35.0,48.0,78.0,81.0952380952381,126.0,148.0,30.891592322029567,58.0
data/СТС.csv,2004,24,59,25.0,27.950000000000003,77.5,81.54166666666667,133.25,155.0,35.303626081363845,50.0
data/СТС.csv,2005,34,49,33.0,36.25,59.5,75.67647058823529,143.45,167.0,35.12378162514145,45.0
data/СТС.csv,2006,33,50,30.0,32.0,54.0,71.96969696969697,137.0,156.0,35.76964918796804,50.0
data/СТС.csv,2007,36,47,41.0,43.75,69.5,76.55555555555556,131.25,151.0,29.747935769388818,35.75
data/СТС.csv,2008,43,40,34.0,37.1,73.0,76.13953488372093,135.7,203.0,36.91984973615711,44.5
data/СТС.csv,2009,45,38,25.0,28.0,64.0,69.71111111111111,122.0,199.0,34.69976566741824,40.0
data/СТС.csv,2010,49,34,28.0,39.6,65.0,75.95918367346938,142.19999999999996,197.0,34.52713859154459,42.0
data/СТС.csv,2011,50,33,32.0,36.8,66.0,78.56,153.39999999999998,201.0,37.32546321322259,46.25
data/СТС.csv,2012,51,32,30.0,33.5,69.0,78.86274509803921,149.5,201.0,39.510514857613856,52.0
data/СТС.csv,2013,54,29,24.0,36.5,67.0,76.83333333333333,150.14999999999995,201.0,38.47113595784237,47.75
data/СТС.csv,2014,47,36,33.0,38.6,71.0,79.57446808510639,156.99999999999994,203.0,37.38038585934506,44.0
data/СТС.csv,2015,53,30,27.0,32.8,75.0,79.86792452830188,156.0,201.0,39.74874828017039,54.0
data/СТС.csv,2016,56,27,29.0,32.75,73.0,84.33928571428571,164.5,201.0,41.800076896716696,56.75
data/СТС.csv,2017,55,28,26.0,35.2,66.0,73.92727272727272,139.59999999999997,203.0,35.3332570992126,42.5
data/СТС.csv,2018,57,26,30.0,37.8,66.0,75.91228070175438,126.79999999999984,201.0,35.556936585543625,48.0
data/СТС.csv,2019,51,32,32.0,42.0,72.0,80.13725490196079,145.5,205.0,36.27948158827143,49.0
data/СТС.csv,2020,53,30,39.0,42.0,76.0,86.75471698113208,156.59999999999994,206.0,40.64191927458897,62.0
data/СТС.csv,2021,52,31,31.0,43.55,75.5,84.9423076923077,140.54999999999993,208.0,38.02806675649976,53.5
data/СТС.csv,2022,58,25,33.0,36.7,68.5,82.44827586206897,172.89999999999998,208.0,41.8066444873418,52.5
data/СТС.csv,2023,46,37,25.0,33.25,58.0,79.15217391304348,161.75,206.0,45.51628152714116,62.0
data/СТС.csv,2024,22,61,40.0,42.2,78.0,90.5,194.2,206.0,47.94912979000816,57.25
data/СТС.csv,2025,10,73,42.0,43.8,58.5,90.6,178.74999999999994,208.0,56.251814785539736,77.5
