date_start,date_end,type_chs,location,region,season_type,damage_rub
2008-05-24,2008-05-25,Половодье,(р. Лена),Республика Саха (Якутия),весенний,
2008-06-01,2008-06-30,Чрезвычайная пожароопасность,"(г.Якутск, Алданский, Олекминский  р-ны)",Республика Саха (Якутия),весенний,
2010-05-20,2010-05-22,Затор,(р. Лена),Республика Саха (Якутия),весенний,
2011-05-16,2011-05-17,Затор,(р. Лена),Республика Саха (Якутия),весенний,
2012-05-14,2012-05-16,Половодье,(Олекминский район),Республика Саха (Якутия),весенний,
2013-05-10,2013-05-19,Затор,"(реки Лена, Колыма, Амга)",Республика Саха (Якутия),весенний,
2013-05-10,2013-05-19,Половодье,"(реки Лена, Колыма, Амга)",Республика Саха (Якутия),весенний,
2015-05-13,2015-05-13,Затор,(р. Лена п. Табага),Республика Саха (Якутия),весенний,
2017-06-30,2017-07-31,Чрезвычайная пожароопасность,"(Амгинский район, Усть-Алданский район Горный, Хангаласский, Чурапчинский районы, Вилюйский, Верхневилюйский, Жиганский районы)",Республика Саха (Якутия),весенний,
2018-05-14,2018-05-18,Затор,(сТабага - р.Лена),Республика Саха (Якутия),весенний,
2018-05-19,2018-05-22,Затор,п.Сангар - р.Лена),Республика Саха (Якутия),весенний,
2018-05-27,2018-05-27,Затор,(п.Жиганск - р.Лена),Республика Саха (Якутия),весенний,
2020-05-13,2020-05-14,Паводок, (р. Лена),Республика Саха (Якутия),весенний,
2021-08-01,2021-08-19,Чрезвычайная пожароопасность,"(г.Якутск и окрестности, Намский, Алданском, Горный, Усть-Алданский, Чурапчинский, Томпонский, Усть-Майский, Нюрбинский, Амгинском, Жиганский)",Республика Саха (Якутия),другой,
2022-05-23,2022-05-24,Половодье,"(р. Лена, г.п. Графский берег",Республика Саха (Якутия),весенний,
2022-06-29,2022-06-29,Чрезвычайная пожароопасность,"(г. Якутск, Намский, Алданский, Верхневилюйский Нюрбинский, районы).
г. Якутск, Намский, Алданский, ВерхневилюйскийНюрбинский, районы).",Республика Саха (Якутия),весенний,
2022-10-24,2022-10-24,Ветер,"(Жиганский, Мирнинский районы)",Республика Саха (Якутия),осенний,
2023-05-21,2023-05-23,Половодье,"(р. Лена,  ГП Сангар).",Республика Саха (Якутия),весенний,
